Văn phòng TĐL;Địa chỉ;Điện thoại;Fax
An Giang - Châu Đốc;Số 54 Trưng Nữ Vương, Thị xã Châu Đốc, Tỉnh An Giang;0763-566616;0763-566626
Bà Rịa Vũng Tàu ;TTTM Bà Rịa, Số 9 Lê Quý Đôn, Phường Phước Trung, Thị xã Bà Rịa, Tỉnh Bà Rịa Vũng Tàu;064-3716626;064-3716465
Bắc Giang ;Tầng 8, TTTM Bắc Giang, Số 01 Hùng Vương, Phường Hoàng Văn Thụ, Tp. Bắc Giang, Tỉnh Bắc Giang;0240-3542125;0240-3542126
Bắc Giang 1;Số 30 Hoàng Văn Thụ, Phường Hoàng Văn Thụ, Tp. Bắc Giang, Tỉnh Bắc Giang;0240-3898266;0240-3898286
Bắc Ninh 1;Số 115 Lý Thường Kiệt, Thị trấn Lim, Huyện Tiên Du, Tỉnh Bắc Ninh;0241-3711508;0241-3711509
Bắc Ninh ;Tầng 6, Tòa nhà Trung Thành, Số 10 Nguyễn Đăng Đạo, PhườngTiền An, Tp. Bắc Ninh, Tỉnh Bắc Ninh ;0241-3870992;0241-3874025
Bến Tre;Tầng 3, Tòa nhà NH TMCP Sài Gòn Thương Tín, Số 14C1 Đại lộ Đồng Khởi, Phường Phú Khương, Tp. Bến Tre, Tỉnh Bến Tre;075-3512191;075-3512190
Bình Dương;Số 400 Đại lộ Bình Dương, Khu phố 1, Phường Phú Lợi, Thị xã Thủ Dầu Một, Tỉnh Bình Dương;0650-3856510;0650-3856501
Cần Thơ;Số 40 Trần Văn Hoài, Phường Xuân Khánh, Quận Ninh Kiều, Tp. Cần Thơ;0710-3651777;0710-3820222
Đà Nẵng;Số 211 Nguyễn Hữu Thọ, PhườngHòa Thuận Tây, Quận Hải Châu, Tp. Đà Nẵng;0511-3624888;0511-3635345
Đắk Lắk;Số 267 Phan Chu Trinh, Tp. Buôn Ma Thuột, Tỉnh Đăk Lăk;0500-3955113;0500-3955114
Đắk Nông;Số 4 Tôn Đức Thắng, Phường Nghĩa Thành, Thị xã Gia Nghĩa, Tỉnh Đắk Nông;0501-3541368;0501-3541369
Đồng Nai;Số 23 Trần Phú, Phường Xuân An, Thị xã Long Khánh, Tỉnh Đồng Nai;061-364 6188;061-364 6238
Đồng Tháp - Cao Lãnh ;Số 27 Đặng Văn Bình, Phường1, Tp. Cao Lãnh, Tỉnh Đồng Tháp;067-6250999;067-6250555
Đồng Tháp ;Số 17A Trần Thị Nhượng, Tp. Cao Lãnh, Tỉnh Đồng Tháp;067-3871951;067-3871941
Đồng Tháp - Sa Đéc;Số 25 Hùng Vương, Phường 2, Thị xã Sa Đéc, Tỉnh Đồng Tháp;067-3868888;067-3868777
Gia Lai;Số 51 Nguyễn Tất Thành, Phường Phù Đổng, Tp. Pleiku, Tỉnh Gia Lai;059-3716123;059-3716122
Hà Nội - Hà Đông;Villa Số 40, Khu nhà Hillstate Hyundai, Phường Hà Cầu, Quận Hà Đông, Hà Nội;04-33518870;04-33519170
Hà Nội - Sơn Tây;Số 103 Quang Trung, Phường Quang Trung, Thị trấn Sơn Tây, Hà Nội;04-33616999;04-33618999
Hà Nội - Đan Phượng;Số 97 Phan Đình Phùng, Thị trấn Phùng, Huyện Đan Phượng, Hà Nội;04-63265165;04-63265138
Hà Nội - Sóc Sơn;Số 118, Tổ 1, Núi Đôi, Thị trấn Sóc Sơn – Sóc Sơn, Hà Nội;04-35955699;04-35955641
Hà Tĩnh;Tầng 5, Tòa nhà BMC, Số 2 Phan Đình Phùng, Tp. Hà Tĩnh, Tỉnh Hà Tĩnh;039-3892919;039-3691165
Hải Dương 1;Số 170 Thanh Niên, Phường Quang Trung, Tp. Hải Dương;0320-3838768;0320-3838767
Hải Dương ;Lô 102, Số 158-159 Khu Đô thị mới phía Tây, Phường Thanh Bình, Tp. Hải Dương;0320-3895540;0320-3895540
Hải Phòng;Số 21 Lương Khánh Thiện, Phường Lương Khánh Thiện, Quận Ngô Quyền, Tp. Hải Phòng;031-3848668;031-3848619
Hậu Giang - Phụng Hiệp;Số 1/408 Lê Lợi, Phường Ngã Bảy, Thị xã Ngã Bảy - Phụng Hiệp, Tỉnh Hậu Giang;07113-960888;07113-960444
Hòa Bình;Số 17, Tổ 27 Chi Lăng, Phường Phương Lâm, Tp. Hòa Bình, Tỉnh Hòa Bình;0218-3894189;0218-3894190
Huế 1;Tầng 8, Số 28 Lý Thường Kiệt, Phường Vĩnh Ninh, Tp. Huế, Tỉnh Thừa Thiên  Huế;054-3978123;054-3978111
Huế ;Số 22B Lê Lợi, Tp.Huế, Tỉnh Thừa Thiên Huế;054-3832255;054-3837423
Hưng Yên - Phố Nối;Số 77 Phố Mới, Thị trấn Bần - Yên Nhân, Huyện Mỹ Hào, Tỉnh Hưng Yên;0321-3742879;0321-3742879
