Bangladesh;Aboni Knitwear ;169-171, Tatulzhora Hemayetpur;Savar;Dhaka Division
Bangladesh;Armana Fashions ;232-234, Tejgaon Industrial Area;Dhaka;Dhaka Division
Bangladesh;Bangladesh Spinners & Knitters;Plot 6-11, Sector 4/A;CEPZ;Chittagong Division
Bangladesh;Body Fashion;Naojur, Kodda, Joydebpur;Gazipur;Dhaka Division
Bangladesh;Concept Knitting ;Tilargati, Sataish Bazar, Tongi;Gazipur;Dhaka Division
Bangladesh;Creative Woolwear ;3/B Darus Salam Road;Mirpur;Dhaka Division
Bangladesh;Denimach ;Kewa Mouja, Ward No. 5, Gorgoria Masterbari, Sreep;Dhaka;Dhaka Division
Bangladesh;DNV Clothing;Plot No. 100/101, AEPZ, Adamjee Nagar, Siddhirgonj;Narayanganj;Dhaka Division
Bangladesh;Fashion Forum;367/1, Senpara Parbota;Mirpur;Dhaka Division
Bangladesh;Fresh Fashion Wear;638  Sharifpur, National University Gazipur Sadar;Gazipur;Dhaka Division
Bangladesh;Global Merchants ;Baimail, Konabari, Kashem Cotton Mills, Konabari, Joydevpur;Gazipur;Dhaka Division
Bangladesh;Haesong Korea;Han Complex (Ground Floor), Bara Rangamatia, Zirabo;Savar;Dhaka Division
Bangladesh;ICCL;Naojur, Kodda, Joydebpur;Gazipur;Dhaka Division
Bangladesh;Interlink Dresses;Shirin Chowdhury Complex, Vogra, Joydebpur ;Gazipur;Dhaka Division
Bangladesh;Jerkin Wear ;1670/2091, West Sholashar, Building No. 3;Aturardepu;Chittagong Division
Bangladesh;Mark ;B.K. Bari, Taltoli, Mirzapur Bazar, Gazipur Sadar;Gazipur;Dhaka Division
Bangladesh;Masco Industries;221-223, Khartail, Shataish Road, Tongi;Gazipur;Dhaka Division
Bangladesh;MM Knit Wear ;Ambagh Road, Konabari, Nilnagar;Gazipur;Dhaka Division
Bangladesh;NR Knit Composite;Enayetnagar, Volail, Fatullah;Narayanganj;Dhaka Division
Bangladesh;Padma Sweaters ;1/B Darus Salam Road, Section 1;Mirpur;Dhaka Division
Bangladesh;Pioneer Sweaters & Knitwears Unit-1;Enayetnagar, Fatullah;Narayanganj;Dhaka Division
Bangladesh;Sharoms Samsons Winter Wear ;Samsons Complex, 728-729, Sastapur, Fatullah;Narayanganj;Dhaka Division
Bangladesh;Shasha Garments;Hashem Plaza, 4th floor, Ganakbari;Savar;Dhaka Division
Bangladesh;Shore to Shore Textiles;Plot No. 4-233, Adamjee EPZ, Shiddirgonj;Narayanganj;Dhaka Division
Bangladesh;Space Sweater ;Parijat, Konabari;Gazipur;Dhaka Division
Bangladesh;The Delta Composite Knitting;Zarun (South) Kashimpur;Gazipur;Dhaka Division
Bangladesh;Tusuka Jeans Ltd;Konabari, Neelnagar;Gazipur;Dhaka Division
Bangladesh;Young 4 Ever;Plot No. B-89-90, Bscic I/A, Fatullah;Narayanganj;Dhaka Division
Bangladesh;Young International;Plot No. 32-36, Sector 5;CEPZ;Chittagong Division
China;AJ Shoes / KD Industry Co.;No. 21 Guangming Road,  Dongcheng District;Guangdong;Dongguan
China;An Mao Jewelry Factory;No. 162, Jing Fa Road;Zhejiang;Yiwu
China;Anhui Jinlu Garments Co. Ltd. ;No. 1 Qianyang Road, Qianshan Economic and Development Zone;Anhui;Anqing
China;Anqui Zongheng Textile and Garment Co. Ltd;Nanyuan Road, Anqiu;Shandong;Weifang
China;Ban Shi Knitting Factory;Banshi District, Changping;Guangdong;Dongguan
China;Bao Feng Knitting;Pingdong Industrial Zone, Sanxiang;Guangdong;Zhongshan
China;Beijing Fan Mei Garments;No. 29, Shuntong Road, Shunyi District;Beijing;BeijingChina;Beijing Litaijiahua Knitting Co. Ltd;East Qiji Tongzhou District;Beijing;Beijing
China;Beijing Run Da Knitting Co. Ltd;No 212 Qiuzhuang Yujiawu Huizu Town, Tongzhou District ;Beijing;Beijing
China;Bowing Knitting Factory Co. Ltd.;Longyan District, Humen Town;Guangdong;Dongguan
China;Champion Plan Intl - Gan Tu Fashion;No. 11 Xikeng Yi Cun Industrial Area, Henggang Town, Longgang District;Guangdong;Shenzhen
China;Changle Hualing Co. Ltd.;Wenzhou Industrial Park, Baocheng Street, Changle County;Shandong;Weifang
China;Changshu Hongli;Meidiyang Road, Zhaoshi Town;Jiangsu;Changshu
China;Changzhou Rongyuan Garment Co. Ltd;No. 47 North Qingyang Road;Jiangsu;Changzhou
China;Cheuk Lun Metal Manufactory Co. Ltd;5 Yizho Road, The Third Industrial Zone, Kenzi County, Pingshan New District ;Guangdong;Shenzen
China;Dalian Gangdu Knitting Co. Ltd.;Longtou Village, Longtou Town, Lvshunkou District;Liaoning;Dalian
China;Dandiya Jewelry Co. Ltd.;No. 3—6, 41Building XiZhan YiQu;Zhejiang;Yiwu
China;Danyang Huamao Gmt. Co.;No. 30 East Yongsheng Road, Douzhuang, Danyang;Jiangsu;Zhenjiang
China;Deqing Xingdong Leather Factory Co. Ltd.;No. 23 Chengdong Road, Xinshi Town;Zhejiang;Deqing
China;Deqing Xinhui Fashion Co.;5-6F, 07 Building  1018 Qingfang Road;Zhejiang;Huzhou
China;Dezhou Zhenbo Garment Factory Co. Ltd. ;San Ba Dong Road, Development Zone;Shandong;Dezhou
China;Dongguan Wangming Textile Co. Ltd;No. 2 Industrial District, Shigu Village, Tangxia Town;Guangdong;Dongguan
China;Dongguan ZhengYong Leather Acc.;2nd Wusha Liwu Industrial Zone, Changan;Guangdong;Dongguan
China;East Factory;No.29 Industrial Avenue, Industrial Area, Xinfeng County;Jiangxi ;Ganzhou
China;Ehe Garment Factory;Chengnan Industrial Area, Tuanfeng;Hubei;Huanggang
China;Everwell Garment;No. 6 North Street, Qiaochang Road, Dazhou Village, Qiaoutou Town;Guangdong;Dongguan
China;Favorest Fashion (Kais Handbag);No.18 Jinshi Road, Shiling Town, Huadu District;Guangdong;Guangzhou
China;FengHua HuiDa Garments Factory ;No.98 West Zong Xing Road, Xi Kou, FengHua;Zhejiang;Ningbo
China;Fenghua Huihlong Clothing Factory Co. Ltd. ;Jiangxiapu Town, Fenghua;Zhejiang;Ningbo
China;Foshan Guangda Garment Ltd. ;25 North Cunyuan Road, Chancheng District;Guangdong;Foshan
China;Foyal (Taishan) Garment Co. Ltd.;No. 1, Foreign Trade Development Zone, Bangang ;Guangdong;Taishan
China;Fujian Great Fashion Industry Co. Ltd.;No. 77 Taikang Road, Xiantang Community, Changtai Street, Licheng District;Fujian;Quanzhou
China;Fujian Quanzhou Jintaili Garment;Taiwanese Investment Zone;Fujian;Quanzhou
China;GoWell Garment Limited;Huancheng Road, Tangjiao District,  Changping Town;Dongguan;Guangdong
China;Guangzhou Natucci Belt Factory;502 Building A, Heming Industrial Zone, No. 20 Hetai Road, Hebian Village, Baiyun District;Guangzhou;Guangdong
China;Haining Bierte Knitting;No.3 Building of Shuanglian Road, Economic Development Zone;Zhejiang;Haining
China;Haining Had Socks Ltd.;Boruqiao Development Zone, Zhouwangmiao Town;Zhejiang;Haining
China;Haining Randy Socks Co. LTD;No 217 Xiachuan Road, Economic Development District;Zhejiang;Haining
China;Haiyang Meiyu Sewing;No 4 Haixia Road;Shandong;Haiyang
China;Hangzhou (Tonglu) Yutu Knitting Co.;Industrial Park Hengcun Village Tonglu Town;Zhejiang;Hangzhou
China;Hangzhou Dunhuang Leather Co. Ltd.;No. 79 Qinshan Road, Textile Industrial Park;Zhejiang;Tonglu
China;Hangzhou Haide Garment;Xiao Shan Econmic & Technology Development Zone;Zhejiang;Hangzhou
China;Hangzhou Huasheng Scarves Co. Ltd;No.279 Yangtang Road, Tonglu Town;Zhejiang;HangzhouChina;Hangzhou Tonglu Xinyi Knitting;Fangbu Industrial Park, Hengcun Town, Tonglu;Zhejiang;Hangzhou
China;Hangzhou Yuyang Knitting Co. Ltd.;Fangbu Industrial Park, Hengcun Town;Zhejiang;Tonglu
China;HengRong Shoes Factory;No. 16 Guangming Road, Dongcheng District;Guangdong;Dongguan
China;High Link Garment Factory;No 43 Jin Fu Road, XiaoJinKou;Guangdong;Huizhou
China;Hubei YuHe Garments Co. Ltd. ;No.299 People Road, Economic Develop Zone;Hubei;Hanchuan
China;Hubei Yuyuan Garment Co.;No. 25 Hanqiao Road, Hanqiao, Daye;Hubei;Daye
China;Huiyang Haopeng Knitting Factory;Chang Long Gang Industrial Zone, Shatian Town, Huiyang District;Guangdong;Huizhou
China;Huizhou City Elite Garments;Factory Building.16 Da Tian Lao Industrial Area, Sanxin, Jiangbei;Guangdong;Huizhou
China;Huizhou Shen Fung Knitters;Industrial Zone 3, Shi Gang Xia, Xinxu, Huiyang;Guangdong;Huizhou
China;Huizhou Yangfang Garment Co. Ltd.;Guangreng Road 54, Xiaojinkou Town;Guangdong;Huizhou
China;HuZhou Goldsire Industrial Co.;No. 1018 Chuangye Avenue;Zhejiang;Huzhou
China;Huzhou Hebe Apparel. Co Ltd;No. 69, Hengda Road, Qianyuan Town, Deqing County;Zhejiang;Huzhou
China;Huzhou Sino-Source Fashion;Chengxi Development Zone, Sian Town, Changxing;Zhejiang;Huzhou
China;Huzhou Wanshisheng Dress;NO.495 Quyuan North Road,Wukang Town,Deqing County;Zhejiang;Deqing
China;Jian Sang Garment Co. Ltd.;Ren Yi Road,  Ren He Industrial Area, Bei Ce, Humen Town;Guangdong;Dongguan
China;Jian Shan Wan Qi Garments Co. Ltd.;Economic Industrial Zone of Daxitan, Jiangshan;Zhejiang;Hangzhou
China;Jiangmen City Chau Garment;Xiyuan Industrial District, Snacha Road, Tangxia Town, Pengjiang;Guangdong;Jiangmen
China;Jiangsu Asian Sourcing Headwear MFG Co.;No.2 South Guangzhou Road;Jiangsu;Huai'an
China;Jiangsu Huayi Garment Co. Ltd;No.88-1, Changjiang Road West;Jiangsu;Nantong
China;Jiangsu LongLiQi Bio-Technology;Long Li Qi Biological Industrial Park;Jiangsu;Changshu
