PHI;MI;Luis;Aguayo;Right;133;17;28;4;13;1;0.211
SFG;UT;Mike;Aldrete;Left;216;27;54;2;25;1;0.25
PIT;LF;Bill;Almon;Right;196;29;43;7;27;11;0.219
LAD;IF;Dave;Anderson;Right;216;31;53;1;15;5;0.245
HOU;C;Alan;Ashby;Both;315;24;81;7;38;1;0.257
NYM;2B;Wally;Backman;Both;387;67;124;1;27;13;0.32
HOU;C;Mark;Bailey;Both;153;9;27;4;15;1;0.176
HOU;RF;Kevin;Bass;Both;591;83;184;20;79;22;0.311
CIN;3B;Buddy;Bell;Right;568;89;158;20;75;2;0.278
PIT;SS;Rafael;Belliard;Right;309;33;72;0;31;12;0.233
ATL;C;Bruce;Benedict;Right;160;11;36;0;13;1;0.225
MON;C;Dann;Bilardello;Right;191;12;37;4;17;1;0.194
SDP;C;Bruce;Bochy;Right;127;16;32;8;22;1;0.252
PIT;CF;Barry;Bonds;Left;413;72;92;16;48;36;0.223
PIT;OF;Bobby;Bonilla;Both;192;28;46;1;17;4;0.24
CHC;LF;Thad;Bosley;Left;120;15;33;1;9;3;0.275
PIT;1B;Sid;Bream;Left;522;73;140;16;77;13;0.268
SFG;C;Bob;Brenly;Right;472;60;116;16;62;10;0.246
LAD;1B;Greg;Brock;Left;325;33;76;16;52;2;0.234
MON;SS;Hubie;Brooks;Right;306;50;104;14;58;4;0.34
SFG;3B;Chris;Brown;Right;416;57;132;7;49;13;0.317
PIT;RF;Mike;Brown;Right;243;18;53;4;26;2;0.218
CIN;C;Sal;Butera;Right;113;14;27;2;16;0;0.239
LAD;1B;Enos;Cabell;Right;277;27;71;2;29;10;0.256
NYM;C;Gary;Carter;Right;490;81;125;24;105;1;0.255
CHC;3B;Ron;Cey;Right;256;42;70;13;36;0;0.273
ATL;1B;Chris;Chambliss;Left;122;13;38;2;14;0;0.311
SFG;1B;Will;Clark;Left;408;66;117;11;41;4;0.287
STL;1B;Jack;Clark;Right;232;34;55;9;23;1;0.237
STL;LF;Vince;Coleman;Both;600;94;139;0;29;107;0.232
CIN;SS;Dave;Concepcion;Right;311;42;81;3;30;13;0.26
HOU;LF;Jose;Cruz;Left;479;48;133;10;72;3;0.278
CIN;LF;Kal;Daniels;Left;181;34;58;6;23;15;0.32
HOU;1B;Glenn;Davis;Right;574;91;152;31;101;3;0.265
CHC;C;Jody;Davis;Right;528;61;132;21;74;0;0.25
CIN;LF;Eric;Davis;Right;415;97;115;27;71;80;0.277
SFG;RF;Chili;Davis;Both;526;71;146;13;70;16;0.278
MON;RF;Andre;Dawson;Right;496;65;141;20;78;18;0.284
CHC;CF;Bob;Dernier;Right;324;32;73;4;18;27;0.225
CIN;C;Bo;Diaz;Right;474;50;129;10;56;1;0.272
PIT;LF;Mike;Diaz;Right;209;22;56;12;36;0;0.268
HOU;2B;Bill;Doran;Both;550;92;152;6;37;42;0.276
LAD;SS;Mariano;Duncan;Right;407;47;93;8;30;48;0.229
CHC;SS;Shawon;Dunston;Right;581;66;145;17;68;13;0.25
CHC;1B;Leon;Durham;Left;484;66;127;20;65;8;0.262
NYM;CF;Lenny;Dykstra;Left;431;77;127;8;45;31;0.295
CIN;UT;Nick;Esasky;Right;330;35;76;12;41;0;0.23
MON;C;Mike;Fitzgerald;Right;209;20;59;6;37;3;0.282
SDP;2B;Tim;Flannery;Left;368;48;103;3;28;3;0.28
MON;MI;Tom;Foley;Left;202;18;52;1;18;8;0.257
STL;OF;Curt;Ford;Left;214;30;53;2;29;13;0.248
NYM;LF;George;Foster;Right;233;28;53;13;38;1;0.227
CHC;UT;Terry;Francona;Left;124;13;31;2;8;0;0.25
MON;1B;Andres;Galarraga;Right;321;39;87;10;42;6;0.271
HOU;3B;Phil;Garner;Right;313;43;83;9;41;12;0.265
SDP;1B;Steve;Garvey;Right;557;58;142;21;81;1;0.255
SFG;CF;Dan;Gladden;Right;351;55;97;4;29;27;0.276
LAD;CF;Jose;Gonzalez;Right;93;15;20;2;6;4;0.215
ATL;LF;Ken;Griffey;Left;292;36;90;12;32;12;0.308SDP;RF;Tony;Gwynn;Left;642;107;211;14;59;37;0.329
LAD;3B;Jeff;Hamilton;Right;147;22;33;5;19;0;0.224
ATL;LF;Terry;Harper;Right;265;26;68;8;30;3;0.257
HOU;CF;Billy;Hatcher;Right;419;55;108;6;36;38;0.258
PHI;1B;Von;Hayes;Left;610;107;186;19;98;24;0.305
STL;C;Mike;Heath;Right;190;19;39;4;25;2;0.205
NYM;LF;Danny;Heep;Left;195;24;55;5;33;1;0.282
NYM;1B;Keith;Hernandez;Left;551;94;171;13;83;2;0.31
STL;2B;Tom;Herr;Both;559;48;141;2;61;22;0.252
