1;An Giang;Cơ sở điện lạnh Điện Phát;ASD;107 Nguyễn Huệ B, Phường Mỹ Long, Thành Phố Long Xuyên, Tỉnh An Giang;0763841984;dienphat_lx@yahoo.com.vn
2;Bạc Liêu;Cửa hàng điện lạnh Trọng Khang;ASD;139/2 Trần Phú, Phường 7, Thành Phố Bạc Liêu, Tỉnh Bạc Liêu;07813955307;dienlanhtrongkhangbl@gmail.com
3;Bắc Ninh;Công ty TNHH Nhiệt lạnh Hồng Hải;ASD;108 Trần Hưng Đạo, Phường Tiền An, Thành Phố Bắc Ninh, Tỉnh Bắc Ninh;02413811940;servicebn@yahoo.com.vn
4;Bến Tre;Trung tâm bảo hành điện lạnh Tín Phong;ASD;52B Đại Lộ Đồng Khởi, Phương Phú Khương, Thành Phố Bến Tre, Tỉnh Bến Tre;0753816572;tinphongbentre@yahoo.com.vn
5;Bình Dương;Công ty TNHH điện lạnh Tiến Lộc Tài;ASD;55/8 Ngô Chí Quốc, Khu Phố 13, Phường Phú Cường, Thành Phố Thủ Dầu Một, Tỉnh Bình Dương;06503855310;tienloctaicty@gmail.com
6;Bình Phước;Công ty TNHH MTV TM và DV Cơ Điện Lạnh Bình Phước;ASD;57/9 Nguyễn Tri Phương, Phường Tân Xuân, Thị Xã Đồng Xoài, Tỉnh Bình Phước;06513500234;dienlanhanhtuanbp@yahoo.com.vn
7;Đắc Lắc;Trung tâm bảo hành điện lạnh;ASD;13 Bà Triệu TP- Buôn Ma Thuột Tỉnh Đắc Lắc;05003-851399;ttbh_anhtienbt@yahoo.com.vn
8;Cà Mau;Dịch Vụ Điện Tử - Điện Lạnh Nguyễn Ngọc Tuấn;ASD;37 Nguyễn Trãi, Phường 9, Thành Phố Cà Mau, Tỉnh Cà Mau;07803935522;tuandaikincm@gmail.com
9;Cần Thơ ;Cơ Sở Điện Lạnh Thiên Kim;ASD;71/7F Trần Phú, Phường Cái Khế, Quận Ninh Kiều, Thành Phố Cần Thơ;07103769828;dienlanhthienkim@yahoo.com
10;Đồng Nai;Công ty TNHH TM-DV Nguyễn Hữu Tiến;ASD;71/17,Tổ 18,  Ấp An Hóa, Xã Hóa An, Thành Phố Biên Hòa, Tỉnh Đồng Nai;0613935627;huutiendienlanh@gmail.com
11;Đồng Tháp;Trung tâm bảo hành điện máy;ASD;302 Nguyễn Sinh Sắc, Khu phố 4, Phường 1, Thị xã Sa Đéc, Tỉnh Đồng Tháp;0673771377;trungtambaohanhlgsadec@yahoo.com
12;Gia Lai;Cơ điện tổng hợp Hùng Dũng;ASD;33 Nguyễn Trường Tộ, Phường Diên Hồng, Thành Phố Pleiku, Tỉnh Gia Lai;059 2 240962;ttdlhungdung@yahoo.com
13;Hà Nam;Công ty TNHH thương mại Cường Phượng;ASD;46 Trần Phú, Phường Quang Trung, Thành Phố Phủ Lý, Tỉnh Hà Nam;03513855886;cuongphuongcomputer@gmail.com
14;Hà Nội;Công ty TNHH DV & TM điện lạnh Xuân Tùng;ASD;31 Phạm Hồng Thái, Thị Xã Sơn Tây, Thành Phố Hà Nội;0433833392;xuantung_hatay@yahoo.com.vn
15;Hà Nội;Công ty TNHH Thương mại điện tử Quang Tuân;ASD;10 Cao Lỗ, Huyện Đông Anh, Thành Phố Hà Nội;0438822426;baohanh@quangtuan.vn
16;Hà Nội;Công ty Cổ phần thương mại Thái Hà;ASD;03 Cao Bá Quát, Phường Điện Biên, Quận Ba Đình, Thành Phố Hà Nội;0439363338;ctthaiha.hanoi@gmail.com
17;Hà Nội;Công ty TNHH Minh Hoàng;ASD;1/49 Trung Kính, Phường Yên Hòa, Quận Cầu Giấy, Thành Phố Hà Nội;0438465275;minhhoanghnco@yahoo.com.vn
18;Hải Dương;Công ty TNHH MTV Thuận An Hải Dương;ASD;85  Phạm Hồng Thái, Phường Quang Trung, Thành Phố Hải Dương, Tỉnh Hải Dương;03203852051;tm.cuonghd@gmail.com
19;Hải Phòng;Công ty TNHH Thương mại và Dịch vụ XNK Trọng Tiến;ASD;143 Lương Khánh Thiện, Phường Cầu Đất, Quận Ngô Quyền, Thành Phố Hải Phòng;031 359 2621
